City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,hammerfest,70.6634,23.6821,18.25,77,0,3.09,NO,1721353858
311,yahyali,38.1023,35.357,18.29,67,0,2.82,TR,1721353858
312,chimore,-16.9833,-65.1333,19.09,71,0,1.19,BO,1721353859
313,katsuura,35.1333,140.3,27.45,82,100,8.73,JP,1721353859
314,joacaba,-27.1781,-51.5047,12.94,97,1,1.32,BR,1721353859
315,sola,-13.8833,167.55,27.46,74,65,1.76,VU,1721353859
316,saint-benoit,-21.038,55.7194,18.06,66,0,3.3,RE,1721353859
317,swift current,50.2834,-107.8014,27.45,36,20,8.23,CA,1721353859
318,guaratinga,-16.5667,-39.5667,17.6,95,7,0.69,BR,1721353859
319,okondja,-0.6549,13.6753,22.49,80,51,1.19,GA,1721353859
320,guatrache,-37.6678,-63.5302,10.12,46,100,5.88,AR,1721353860
321,santa cruz,-17.8,-63.1667,19.7,73,0,2.57,BO,1721353860
322,sokur,55.2093,83.319,19.2,88,94,2.96,RU,1721353860
323,hobyo,5.3505,48.5268,24.24,87,80,9.96,SO,1721353860
324,mineral wells,32.8085,-98.1128,31.26,62,28,4.44,US,1721353860
325,pakse,15.1167,105.7833,26.08,94,75,1.03,LA,1721353860
326,general levalle,-34.0147,-63.9241,10.46,77,0,3.94,AR,1721353860
327,tsiombe,-25.3,45.4833,18.74,91,19,3.26,MG,1721353861
328,gwanda,-20.9333,29.0,13.17,30,0,2.0,ZW,1721353861
329,bel ombre,-4.6167,55.4167,25.91,78,20,3.6,SC,1721353861
330,poronaysk,49.2167,143.1167,13.09,90,100,4.71,RU,1721353861
331,rudnya,54.947,31.0934,14.88,95,0,2.74,RU,1721353861
332,diu,20.7141,70.9822,27.31,89,100,7.53,IN,1721353861
333,khovd,48.0056,91.6419,22.32,37,100,0.93,MN,1721353861
334,aykhal,66.0,111.5,14.85,66,100,3.55,RU,1721353862
335,maroua,10.591,14.3159,24.65,73,99,1.41,CM,1721353862
336,piton saint-leu,-21.2196,55.3151,16.06,59,0,2.06,RE,1721353862
